DATE,COUNT,MONTH,DAY,YEAR,HOLIDAY
01/26/2015,154,1,26,2015,0
04/07/2015,141,4,7,2015,0
01/07/2015,153,1,7,2015,0
06/18/2015,180,6,18,2015,0
11/14/2015,179,11,14,2015,0
12/30/2015,216,12,30,2015,0
02/11/2016,156,2,11,2016,0
03/22/2016,266,3,22,2016,0
04/19/2016,172,4,19,2016,0
07/31/2016,97,7,31,2016,0
09/08/2016,203,9,8,2016,0
12/23/2016,214,12,23,2016,0
02/27/2017,383,2,27,2017,0
07/24/2017,145,7,24,2017,0
11/09/2017,228,11,9,2017,0
12/14/2017,243,12,14,2017,0
02/23/2018,524,2,23,2018,0
03/28/2018,140,3,28,2018,0
06/20/2018,169,6,20,2018,0
11/29/2018,262,11,29,2018,0
01/01/2015,102,1,1,2015,1
01/02/2015,147,1,2,2015,0
01/06/2015,157,1,6,2015,0
01/08/2015,150,1,8,2015,0
01/09/2015,183,1,9,2015,0
01/12/2015,258,1,12,2015,0
01/13/2015,170,1,13,2015,0
01/15/2015,172,1,15,2015,1
01/16/2015,162,1,16,2015,0
01/17/2015,123,1,17,2015,0
01/25/2015,75,1,25,2015,0
01/20/2015,137,1,20,2015,0
01/22/2015,135,1,22,2015,0
01/24/2015,114,1,24,2015,0
01/30/2015,162,1,30,2015,0
02/03/2015,124,2,3,2015,0
02/08/2015,84,2,8,2015,0
02/11/2015,158,2,11,2015,0
02/15/2015,73,2,15,2015,0
02/21/2015,155,2,21,2015,0
02/17/2015,149,2,17,2015,0
02/23/2015,148,2,23,2015,0
02/25/2015,141,2,25,2015,0
02/26/2015,175,2,26,2015,0
02/27/2015,165,2,27,2015,0
03/03/2015,443,3,3,2015,0
03/07/2015,145,3,7,2015,0
01/10/2015,128,1,10,2015,0
03/10/2015,145,3,10,2015,0
03/09/2015,161,3,9,2015,0
03/12/2015,145,3,12,2015,0
03/11/2015,101,3,11,2015,0
03/16/2015,134,3,16,2015,0
03/06/2015,184,3,6,2015,0
03/19/2015,182,3,19,2015,0
03/23/2015,157,3,23,2015,0
03/20/2015,189,3,20,2015,0
03/27/2015,189,3,27,2015,0
03/24/2015,150,3,24,2015,0
03/30/2015,153,3,30,2015,0
03/31/2015,124,3,31,2015,0
04/03/2015,165,4,3,2015,0
04/09/2015,125,4,9,2015,0
04/08/2015,177,4,8,2015,0
04/11/2015,108,4,11,2015,0
04/15/2015,317,4,15,2015,0
04/17/2015,133,4,17,2015,0
04/21/2015,136,4,21,2015,0
04/23/2015,134,4,23,2015,0
04/26/2015,63,4,26,2015,0
04/19/2015,66,4,19,2015,0
04/16/2015,196,4,16,2015,0
04/29/2015,189,4,29,2015,0
05/01/2015,215,5,1,2015,0
04/28/2015,150,4,28,2015,0
04/30/2015,178,4,30,2015,0
04/24/2015,190,4,24,2015,0
05/06/2015,197,5,6,2015,0
05/07/2015,169,5,7,2015,0
05/02/2015,144,5,2,2015,0
05/05/2015,147,5,5,2015,0
05/17/2015,83,5,17,2015,0
05/18/2015,169,5,18,2015,0
05/15/2015,173,5,15,2015,0
05/19/2015,165,5,19,2015,0
04/25/2015,140,4,25,2015,0
05/25/2015,106,5,25,2015,0
05/21/2015,166,5,21,2015,0
05/26/2015,185,5,26,2015,0
05/29/2015,188,5,29,2015,1
06/02/2015,182,6,2,2015,0
05/27/2015,148,5,27,2015,0
04/27/2015,128,4,27,2015,0
06/08/2015,159,6,8,2015,0
06/01/2015,181,6,1,2015,0
06/09/2015,172,6,9,2015,0
06/14/2015,102,6,14,2015,0
06/17/2015,173,6,17,2015,0
06/22/2015,151,6,22,2015,0
06/10/2015,176,6,10,2015,0
06/26/2015,172,6,26,2015,0
06/27/2015,118,6,27,2015,0
05/28/2015,164,5,28,2015,0
06/28/2015,111,6,28,2015,0
07/01/2015,182,7,1,2015,0
07/07/2015,166,7,7,2015,0
07/10/2015,152,7,10,2015,0
07/09/2015,174,7,9,2015,0
07/15/2015,144,7,15,2015,0
07/18/2015,141,7,18,2015,0
07/21/2015,168,7,21,2015,0
07/20/2015,168,7,20,2015,0
07/23/2015,157,7,23,2015,0
07/28/2015,166,7,28,2015,0
07/27/2015,176,7,27,2015,0
08/01/2015,147,8,1,2015,0
08/07/2015,203,8,7,2015,0
08/03/2015,226,8,3,2015,0
08/08/2015,150,8,8,2015,0
08/11/2015,169,8,11,2015,0
07/14/2015,189,7,14,2015,0
08/12/2015,134,8,12,2015,0
07/30/2015,159,7,30,2015,0
08/21/2015,182,8,21,2015,0
08/19/2015,180,8,19,2015,0
08/27/2015,212,8,27,2015,0
08/28/2015,210,8,28,2015,0
09/03/2015,176,9,3,2015,0
09/04/2015,190,9,4,2015,1
09/07/2015,116,9,7,2015,0
09/02/2015,186,9,2,2015,0
08/09/2015,100,8,9,2015,0
01/29/2015,123,1,29,2015,0
09/09/2015,180,9,9,2015,0
08/06/2015,189,8,6,2015,0
09/13/2015,87,9,13,2015,0
02/09/2015,162,2,9,2015,0
09/12/2015,145,9,12,2015,0
02/10/2015,126,2,10,2015,0
09/10/2015,198,9,10,2015,0
09/14/2015,183,9,14,2015,0
02/19/2015,144,2,19,2015,1
03/25/2015,173,3,25,2015,0
03/26/2015,157,3,26,2015,0
03/17/2015,159,3,17,2015,0
